	target
0	1
1	1
2	0
3	0
4	1
5	0
6	1
7	0
8	0
9	1
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	1
19	1
20	0
21	0
22	0
23	1
24	0
25	0
26	1
27	0
28	0
29	0
30	1
31	0
32	0
33	0
34	0
35	1
36	0
37	0
38	0
39	0
40	1
41	1
42	0
43	1
44	1
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	1
55	0
56	0
57	0
58	0
59	0
60	1
61	0
62	0
63	0
64	1
65	0
66	1
67	0
68	0
69	0
70	0
71	1
72	0
73	0
74	1
75	0
76	0
77	0
78	0
79	0
80	0
81	1
82	0
83	1
84	0
85	1
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	1
96	0
97	1
98	0
99	0
100	1
101	0
102	0
103	1
104	0
105	0
106	1
107	1
108	0
109	1
110	0
111	0
112	0
113	1
114	1
115	0
116	0
117	0
118	1
119	0
120	0
121	1
122	1
123	1
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	0
140	1
141	1
142	1
143	1
144	1
145	0
146	1
147	1
148	0
149	1
150	1
151	1
152	0
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	0
165	1
166	1
167	1
168	1
169	1
170	0
171	1
172	1
173	1
174	0
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	0
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	0
255	1
256	1
257	0
258	0
259	0
260	1
261	0
262	1
263	1
264	1
265	1
266	0
267	1
268	0
269	0
270	1
271	1
272	1
273	0
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	0
286	1
287	0
288	1
289	1
290	1
291	0
292	1
293	0
294	1
295	1
296	0
297	1
298	0
299	1
300	1
301	1
302	0
303	1
304	0
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	0
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	0
321	1
322	1
323	1
324	1
325	0
326	0
327	1
328	0
329	1
330	1
331	0
332	1
333	0
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	0
343	1
344	1
345	1
346	1
347	1
348	0
349	0
350	1
351	1
352	0
353	1
354	1
355	0
356	0
357	1
358	0
359	1
360	1
361	1
362	1
363	1
364	1
365	1
366	1
367	1
368	1
369	1
370	1
371	1
372	0
373	0
374	1
375	0
376	1
377	1
378	0
379	1
380	1
381	0
382	1
383	0
384	0
385	0
386	1
387	0
388	0
389	1
390	0
391	1
392	0
393	0
394	1
395	1
396	0
397	0
398	1
399	0
400	0
401	1
402	0
403	1
404	1
405	1
406	0
407	0
408	0
409	1
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	1
419	1
420	0
421	0
422	0
423	0
424	1
425	1
426	0
427	0
428	1
429	0
430	0
431	1
432	0
433	0
434	0
435	1
436	0
437	0
438	0
439	0
440	1
441	0
442	1
443	1
444	0
445	0
446	1
447	0
448	1
449	0
450	0
451	0
452	0
453	0
454	1
455	1
456	1
457	0
458	0
459	1
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	1
469	1
470	1
471	1
472	1
473	0
474	0
475	0
476	1
477	1
478	0
479	0
480	1
481	0
482	1
483	0
484	0
485	0
486	1
487	0
488	1
489	1
490	0
491	0
492	1
493	0
494	1
495	1
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	1
504	0
505	0
506	1
507	1
508	1
509	1
510	0
511	0
512	1
513	0
514	0
515	0
516	0
517	1
518	1
519	1
520	1
521	0
522	0
523	0
524	0
525	0
526	1
527	0
528	0
529	0
530	0
531	0
532	1
533	1
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	1
543	1
544	0
545	0
546	0
547	0
548	0
549	1
550	0
551	0
552	1
553	0
554	0
555	0
556	0
557	0
558	1
559	1
560	0
561	1
562	0
563	0
564	1
565	0
566	0
567	1
568	0
569	0
570	0
571	0
572	1
573	1
574	1
575	1
576	0
577	1
578	0
579	0
580	1
581	0
582	0
583	0
584	1
585	0
586	1
587	1
588	0
589	0
590	1
591	1
592	1
593	1
594	0
595	1
596	1
597	1
598	0
