	target
0	0
1	1
2	1
3	0
4	1
5	1
6	1
7	1
8	1
9	0
10	1
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	1
23	0
24	1
25	1
26	0
27	0
28	0
29	1
30	0
31	1
32	1
33	1
34	0
35	0
36	1
37	0
38	0
39	1
40	0
41	0
42	0
43	0
44	1
45	0
46	0
47	1
48	1
49	1
50	0
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	0
59	1
60	0
61	0
62	1
63	0
64	0
65	1
66	1
67	0
68	0
69	0
70	0
71	0
72	0
73	1
74	1
75	1
76	0
77	1
78	0
79	1
80	1
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	1
89	1
90	0
91	0
92	0
93	1
94	1
95	0
96	1
97	1
98	1
99	0
100	1
101	1
102	1
103	1
104	0
105	1
106	0
107	0
108	0
109	1
110	0
111	1
112	0
113	0
114	1
115	1
116	0
117	1
118	0
119	0
120	0
121	0
122	1
123	1
124	0
125	0
126	1
127	1
128	1
129	0
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	0
178	1
179	1
180	1
181	1
182	0
183	0
184	1
185	1
186	1
187	1
188	1
189	0
190	1
191	1
192	1
193	1
194	0
195	0
196	1
197	1
198	1
199	1
200	0
201	1
202	0
203	1
204	1
205	1
206	1
207	1
208	1
209	0
210	1
211	1
212	1
213	1
214	1
215	0
216	1
217	1
218	1
219	1
220	1
221	0
222	1
223	1
224	1
225	0
226	1
227	1
228	1
229	1
230	0
231	1
232	0
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	0
243	0
244	1
245	1
246	0
247	1
248	1
249	1
250	0
251	1
252	0
253	1
254	1
255	1
256	0
257	0
258	0
259	1
260	1
261	1
262	0
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	0
276	1
277	1
278	1
279	1
280	0
281	1
282	1
283	0
284	1
285	1
286	1
287	0
288	1
289	1
290	1
291	1
292	0
293	0
294	1
295	1
296	0
297	0
298	0
299	1
300	1
301	1
302	0
303	0
304	0
305	0
306	1
307	1
308	1
309	1
310	1
311	0
312	1
313	1
314	1
315	0
316	0
317	1
318	1
319	0
320	0
321	0
322	1
323	0
324	1
325	0
326	0
327	1
328	1
329	1
330	0
331	0
332	1
333	0
334	0
335	1
336	1
337	1
338	1
339	1
340	0
341	0
342	1
343	0
344	1
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	1
355	0
356	1
357	1
358	1
359	1
360	1
361	1
362	0
363	0
364	1
365	0
366	1
367	1
368	1
369	1
370	1
371	1
372	0
373	1
374	0
375	1
376	0
377	0
378	1
379	1
380	0
381	1
382	0
383	1
384	0
385	0
386	0
387	1
388	0
389	1
390	1
391	0
392	0
393	1
394	0
395	1
396	0
397	0
398	1
399	1
400	0
401	0
402	0
403	1
404	1
405	0
406	0
407	0
408	0
409	1
410	0
411	1
412	1
413	1
414	0
415	0
416	0
417	0
418	0
419	0
420	1
421	0
422	0
423	0
424	1
425	0
426	0
427	1
428	1
429	0
430	1
431	0
432	0
433	0
434	1
435	0
436	1
437	0
438	0
439	1
440	1
441	0
442	1
443	1
444	0
445	0
446	0
447	1
448	0
449	1
450	0
451	0
452	0
453	1
454	0
455	1
456	0
457	1
458	1
459	1
460	0
461	0
462	0
463	1
464	1
465	1
466	1
467	1
468	0
469	0
470	1
471	0
472	1
473	1
474	0
475	1
476	1
477	1
478	0
479	0
480	0
481	1
482	0
483	1
484	0
485	1
486	1
487	1
488	1
489	0
490	0
491	1
492	0
493	1
494	1
495	1
496	1
497	1
498	1
499	0
500	0
501	1
502	0
503	0
504	0
505	1
506	1
507	1
508	1
509	0
510	0
511	0
512	0
513	1
514	0
515	0
516	1
517	1
518	0
519	0
520	1
521	0
522	1
523	1
524	1
525	1
526	0
527	1
528	1
529	0
530	0
531	0
532	1
533	1
534	1
535	1
536	0
537	1
538	1
539	1
540	1
541	0
